ID	Gene Symbol
1604_at	EPHA5
1605_g_at	EPHA5
1606_at	EPHA4
1607_at	CDKN2B
1608_at	MET
1609_g_at	MET
161_at	RAB9BP1
1610_s_at	DHFR
1611_s_at	IFNG
1612_s_at	JUND
1613_s_at	USP32 /// USP6
1614_s_at	CCDC144B /// USP32 /// USP32P1 /// USP32P2 /// USP6
1615_at	BCL2L1
1616_at	FGF9
1617_at	TRIM25
1618_at	CYP19A1
1619_g_at	CYP19A1
162_at	USP11
1620_at	CDH6
1621_at	CDC5L
1622_at	MAP2K3
1623_s_at	FER
1624_at	RAP1GDS1
1625_at	IGF1
1626_at	MUSK
1627_at	
1628_at	
1629_s_at	PTPN13
163_at	DVL1
1630_s_at	SYK
1631_at	
1632_at	
1633_g_at	PIM2
1634_s_at	TGFB1
1635_at	ABL1
1636_g_at	ABL1
1637_at	MAPKAPK3
1638_at	ETV6
1639_s_at	E2F5
164_at	GNB3
1640_at	ST13
1641_s_at	DDB1
1642_at	MTA1
1643_g_at	MTA1
1644_at	EIF3I
1645_at	KISS1
1646_at	XIAP
1647_at	IQGAP2
1648_at	OSMR
1649_at	SMOX
165_g_at	GNB3
1650_g_at	SMOX
1651_at	UBE2C
1652_at	PIM2
1653_at	RPS3A /// SNORD73A
1654_at	BRAF /// KIAA1549
1655_s_at	FOLH1 /// FOLH1B
1656_s_at	ABL1
1657_at	PTPRR
1658_g_at	PTPRR
1659_s_at	RHEB
166_at	GPR68
1660_at	UBE2N
1661_i_at	KLK3
1662_r_at	
1663_at	RARG
1664_at	IGF2 /// INS-IGF2
1665_s_at	TYMP
1666_at	IFNA1
1667_s_at	CYP4B1
1668_s_at	VHL
1669_at	WNT5A
167_at	EIF5
1670_at	TFDP1
1671_s_at	MAPK14
1672_f_at	RB1
1673_at	NGFR
1674_at	YES1
1675_at	RASA1
1676_s_at	EEF1G /// MIR3654
1677_at	IGFBP5
1678_g_at	IGFBP5
1679_at	GABRA2
168_at	ADK
1680_at	GRB7
1681_at	ESR1
1682_s_at	ABCB1
1683_at	WT1-AS
1684_s_at	WT1
1685_at	RAB4A /// SPHAR
1686_g_at	RAB4A /// SPHAR
1687_s_at	BAK1
1688_s_at	MNAT1
1689_at	DCHS1
169_at	CDX1
1690_at	PCDHGB4 /// PCDHGB5
1691_at	PCDHGA12
1692_s_at	GFRA2
1693_s_at	TIMP1
1694_s_at	HNRNPU
1695_at	NEDD8
1696_at	POLB
1697_s_at	PTPRJ
1698_g_at	MAP2K5
1699_at	MAP2K5
170_at	CDX2
1700_at	BBC3 /// MIR3190 /// MIR3191
1701_at	TEP1
1702_at	IL2RA
1703_g_at	E2F4
1704_at	VAV2
1705_s_at	RARB
1706_at	ARAF
1707_g_at	ARAF
1708_at	MAPK10
1709_g_at	MAPK10
171_at	VBP1
1710_s_at	TOP1
1711_at	TP53BP1
1712_s_at	MAP2K4
1713_s_at	CDKN2A
1714_at	RREB1
1715_at	TNFSF10
1716_at	KSR1
1717_s_at	BIRC3
1718_at	ARPC2
1719_at	MSH3
172_at	INPP5D
1720_at	MAD2L1
1721_g_at	MAD2L1
1722_at	MAP2K5
1723_g_at	ERBB3
1724_at	E2F4
1725_s_at	UBE3A
1726_at	POLE
1727_at	ERBB4
1728_at	BMI1 /// COMMD3-BMI1
1729_at	TRADD
173_at	CDH18
1730_s_at	FGF4
1731_at	PDGFRA
1732_at	FGF5
1733_at	BMP6
1734_at	TGFB3
1735_g_at	TGFB3
1736_at	IGFBP6
1737_s_at	IGFBP4
1738_at	CDC25A
1739_at	FOLH1 /// FOLH1B
174_s_at	ITSN2
1740_g_at	FOLH1 /// FOLH1B
1741_s_at	IGFBP2
1742_at	ERBB3
1743_s_at	SKIL
1744_at	
1745_at	RET
1746_s_at	TRAF2
1747_at	DNASE2
1748_s_at	KLF1
1749_at	GCDH
175_s_at	PKN1
1750_at	FARSA
1751_g_at	FARSA
1752_at	CALR
1753_s_at	RAD23A
1754_at	DAXX
1755_i_at	CYP3A4
1756_f_at	CYP3A4
1757_i_at	CYP3A7 /// CYP3A7-CYP3AP1
1758_r_at	CYP3A7 /// CYP3A7-CYP3AP1
1759_f_at	CYP3A7 /// CYP3A7-CYP3AP1
176_at	PPP2R5C
1760_s_at	PTPN7
1761_at	PDGFRL
1762_at	PMS2P4
1763_at	PMS2P5
1764_s_at	MAZ
1765_at	CASP10
1766_g_at	CASP10
1767_s_at	TGFB3
1768_s_at	CSK
1769_at	MAST1
177_at	PLD1
1770_at	IFNA2
1771_s_at	PDGFRB
1772_s_at	FNTA
1773_at	CHURC1-FNTB /// FNTB
1774_at	MXD1
1775_at	POLA2
1776_at	RRAD
1777_at	RIN1
1778_g_at	RIN1
1779_s_at	PIM1
178_f_at	PMS2P1
1780_at	FGR
1781_at	ELK1
1782_s_at	STMN1
1783_at	RIN2
1784_s_at	ARID4A
1785_at	KDM5A
1786_at	MERTK
1787_at	CDKN1C
1788_s_at	DUSP4
1789_at	COPS5
179_at	DTX2P1-UPK3BP1-PMS2P11
1790_s_at	CDK10
1791_s_at	IFNA2
1792_g_at	CDK2
1793_at	CDK13
1794_at	CCND3
1795_g_at	CCND3
1796_s_at	BCL3 /// MIR8085
1797_at	CDKN2D
1798_at	SLC39A6
1799_at	ERCC4
180_at	MBOAT7
1800_g_at	ERCC4
1801_at	BARD1
1802_s_at	ERBB2
1803_at	CDK1
1804_at	KLK3
1805_g_at	KLK3
1806_at	MCF2
1807_g_at	MCF2
1808_s_at	FAS
1809_at	CDC7
181_g_at	MBOAT7
1810_s_at	PRKCD
1811_at	PTPRH
1812_s_at	MET
1813_at	RHBDF1
1814_at	TGFBR2
1815_g_at	TGFBR2
1816_at	RASA2
1817_at	PFDN5
1818_at	RHOQ
1819_at	RAP2A
182_at	ITPR3
1820_g_at	RAP2A /// RAP2B
1821_at	RAP2B
1822_at	RET
1823_g_at	RET
1824_s_at	PCNA
1825_at	IQGAP1
1826_at	RHOB
1827_s_at	MYC
1828_s_at	FGF2
183_at	MAP2
1830_s_at	TGFB1
1831_at	BMP5
1832_at	MCC
1833_at	CDK2
1834_at	GPR176
1836_at	CCNI
1837_at	RRAS2
1838_g_at	RRAS2
1839_at	RAN
184_at	APLNR
1840_g_at	RAN
1841_s_at	MYCNOS
1842_at	DDIT3
1843_at	TRIM27
1844_s_at	MAP2K1
1845_at	MAP2K4
1846_at	LGALS8
1847_s_at	BCL2
1848_at	RAP1A
1849_s_at	ARID4A
185_at	NOVA1
1850_at	MLH1
1851_s_at	FASLG
1852_at	TNF
1853_at	WNT1
1854_at	MYBL2
1855_at	FGF3
1856_at	REL
